Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240151103-112,Tarxien,Apartment,35.86768,14.50854,5.0,2.0,2.0,92.0,92.0,9.0,191000,South Eastern
True,Remax,240041063-186,Xemxija,Penthouse,35.95131,14.38,6.0,3.0,2.0,203.0,160.0,43.0,850000,Northern
True,Remax,240031047-173,Gozo - Marsalforn,Garage (Residential),36.07262,14.25921,6.0,3.0,2.0,0.0,0.0,30.0,101000,Gozo
True,Remax,240291001-1425,Mgarr,Garage (Residential),35.91883,14.34947,0.0,0.0,0.0,45.0,45.0,0.0,60000,Northern
True,Remax,240081068-4018,Luqa,Maisonette,35.85177,14.46828,5.0,2.0,2.0,102.0,102.0,26.0,235000,Southern
True,Remax,240471004-109,Rabat,Townhouse,35.88588,14.35485,12.0,3.0,2.0,209.0,0.0,16.0,498000,Northern
True,Remax,240171008-2229,Mosta,Apartment,35.91184,14.41168,6.0,3.0,2.0,115.0,109.0,6.0,361000,Northern
True,Remax,240291001-1480,Mgarr,Garage (Residential),35.91883,14.34947,0.0,0.0,0.0,15.0,15.0,0.0,35000,Northern
True,Remax,240291001-1275,Siggiewi,Garage (Residential),35.84734,14.4136,0.0,0.0,0.0,16.0,16.0,0.0,34000,Southern
True,Remax,240291001-1280,Siggiewi,Garage (Residential),35.84734,14.4136,0.0,0.0,0.0,16.0,16.0,0.0,34000,Southern
True,Remax,240291001-1382,Siggiewi,Garage (Residential),35.84734,14.4136,0.0,0.0,0.0,16.0,16.0,0.0,34000,Southern
True,Remax,240291001-1389,Siggiewi,Garage (Residential),35.84734,14.4136,0.0,0.0,0.0,16.0,16.0,0.0,29500,Southern
True,Remax,240461027-116,Swieqi,Apartment,35.92315,14.46222,5.0,2.0,1.0,73.0,68.0,5.0,265000,Northern
True,Remax,240461027-115,Swieqi,Apartment,35.92315,14.46222,5.0,2.0,1.0,73.0,68.0,5.0,265000,Northern
